Site,Date,Tidepool,Treatment,H,H_change,Evenness,E_change,Richness,S_change
Shore Pine,2020-09-16,16,Removed,0.831371157,-0.06761069427,0.5165599434,-0.0420088863,5,0
Shore Pine,2020-09-16,17,Removed,0.9906174035,0.08044930619,0.5090766416,0.0413427651,7,0
Shore Pine,2020-09-16,18,Elevated,0.7595942074,-0.1834659145,0.423937599,-0.06069943437,6,-1
Shore Pine,2020-09-16,19,Control,0.6563314553,-0.09008162277,0.4078016618,-0.1306215613,5,1
Shore Pine,2020-09-16,20,Elevated,0.2666036092,0.08728790788,0.1487943074,0.01944537085,6,2
Shore Pine,2020-09-16,21,Removed,0.9694485448,0.3929991056,0.4981980002,0.08237762655,7,3
Shore Pine,2020-09-16,22,Elevated,1.066861361,0.04635136,0.5954266626,0.02586918633,6,0
Shore Pine,2020-09-16,23,Elevated,0.23669506,-0.03609490265,0.1707393946,-0.02603696852,4,0
Shore Pine,2020-09-16,24,Elevated,0.5976215749,0.009941124185,0.3335389516,-0.09038288433,6,2
West Beach,2020-09-16,25,Elevated,0.4556451442,0.05251463184,0.2831082459,0.05811682302,5,-1
West Beach,2020-09-16,26,Control,0.9199514514,-0.09912714701,0.5715979749,-0.0615911594,5,0
West Beach,2020-09-16,27,Removed,1.096744592,-0.06908042175,0.5636152276,-0.08704410102,7,1
West Beach,2020-09-16,28,Control,0.4828336774,-0.08255318742,0.348290876,-0.05954953705,4,0
West Beach,2020-09-16,29,Elevated,0.7418733706,0.02029487773,0.4140474117,0.01132678693,6,0
West Beach,2020-09-16,30,Removed,1.005256393,0.2050751036,0.5610442754,-0.01616451368,6,2
Shore Pine,2020-09-28,1,Control,1.120002332,0.1968204382,0.6958965755,0.1222914141,5,0
Shore Pine,2020-09-28,2,Removed,0.8306142336,-0.07736873679,0.5160896405,-0.04807189901,5,0
Shore Pine,2020-09-28,3,Elevated,0.884806343,-0.05597586264,0.4938198225,-0.03124072377,6,0
Shore Pine,2020-09-28,4,Removed,0.9985635401,-0.06946232901,0.6204424118,-0.1499754006,5,1
Shore Pine,2020-09-28,5,Elevated,0.775125424,-0.1484674778,0.4816125046,-0.359077984,5,2
Shore Pine,2020-09-28,6,Removed,0.9062400382,0.1002914755,0.4657152534,-0.1156537439,7,3
Shore Pine,2020-09-28,7,Removed,1.203781881,0.1810628099,0.7479517361,-0.18296728,5,2
Shore Pine,2020-09-28,8,Control,1.184888016,0.09422064698,0.7362123179,-0.2565559046,5,2
Shore Pine,2020-09-28,9,Control,0.4023932333,-0.1128931082,0.2500209733,-0.07014443203,5,0
Shore Pine,2020-09-28,10,Control,1.107578997,0.1069694811,0.5691830106,-0.05253063751,7,2
Shore Pine,2020-09-28,11,Control,1.043484233,-0.1061649628,0.5823796393,-0.1319375688,6,1
Shore Pine,2020-09-28,12,Removed,1.194972061,0.1384384617,0.7424778871,0.08601665256,5,0
Shore Pine,2020-09-28,13,Control,1.097854534,0.05657691608,0.9993102621,0.2481872342,3,-1
Shore Pine,2020-09-28,14,Elevated,0.2884124523,-0.1915541861,0.2080456073,-0.1381771372,4,0
Shore Pine,2020-09-28,15,Control,0.729190922,-0.133177122,0.5260000635,-0.009819328648,4,-1
Shore Pine,2020-09-28,16,Removed,0.8195571697,-0.07942468151,0.5092195004,-0.04934932929,5,0
Shore Pine,2020-09-28,17,Removed,0.9227382873,0.01257018994,0.4199562925,-0.04777758401,9,2
Shore Pine,2020-09-28,18,Elevated,0.9438942006,0.0008340787104,0.4850656651,0.0004286316667,7,0
Shore Pine,2020-09-28,19,Control,0.470273376,-0.276139702,0.3392305337,-0.1991926894,4,0
Shore Pine,2020-09-28,20,Elevated,0.2847403137,0.1054246124,0.1589165949,0.02956765839,6,2
Shore Pine,2020-09-28,21,Removed,0.6981037805,0.1216543413,0.6354414453,0.2196210716,3,-1
Shore Pine,2020-09-28,22,Elevated,1.086066109,0.065556108,0.5581275729,-0.0114299034,7,1
Shore Pine,2020-09-28,23,Elevated,0.4756321745,0.2028422118,0.295526886,0.09875052284,5,1
Shore Pine,2020-09-28,24,Elevated,0.6380282535,0.05034780279,0.4602400987,0.0363182627,4,0
West Beach,2020-09-28,25,Elevated,0.5557385905,0.1526080781,0.3101636129,0.08517219006,6,0
West Beach,2020-09-28,26,Control,1.091243465,0.07216486618,0.6090345738,-0.02415456051,6,1
West Beach,2020-09-28,27,Removed,0.9997674454,-0.1660575679,0.5579808353,-0.09267849329,6,0
West Beach,2020-09-28,28,Control,0.4600768315,-0.1053100333,0.4187799793,0.01093956631,3,-1
West Beach,2020-09-28,29,Elevated,0.8219145984,0.1003361055,0.4587192715,0.05599864673,6,0
West Beach,2020-09-28,30,Removed,0.990327537,0.1901462475,0.5089276797,-0.06828110944,7,3
Shore Pine,2020-10-23,1,Control,1.326049655,0.4028677615,0.7400824038,0.1664772424,6,1
Shore Pine,2020-10-23,2,Removed,1.120559341,0.2125763703,0.6962426646,0.1320811251,5,0
Shore Pine,2020-10-23,3,Elevated,0.9155225945,-0.02525961121,0.5109628888,-0.01409765744,6,0
Shore Pine,2020-10-23,4,Removed,0.9888778525,-0.07914801666,0.6144243557,-0.1559934567,5,1
Shore Pine,2020-10-23,5,Elevated,1.216149163,0.2925562616,0.8772661835,0.03657569488,4,1
Shore Pine,2020-10-23,6,Removed,0.896590588,0.09064202532,0.5003967348,-0.08097226246,6,2
Shore Pine,2020-10-23,7,Removed,1.329795124,0.3070760531,0.8262481663,-0.1046708498,5,2
Shore Pine,2020-10-23,8,Control,1.363626935,0.2729595664,0.8472690527,-0.1454991698,5,2
Shore Pine,2020-10-23,9,Control,0.2395209276,-0.275765414,0.1727778272,-0.1473875781,4,-1
Shore Pine,2020-10-23,10,Control,1.418763533,0.418154017,0.7918270043,0.1701133562,6,1
Shore Pine,2020-10-23,11,Control,1.105609398,-0.04403979796,0.5681708371,-0.146146371,7,2
Shore Pine,2020-10-23,12,Removed,1.043958082,-0.01257551707,0.6486476264,-0.007813608077,5,0
Shore Pine,2020-10-23,13,Control,1.337407258,0.2961296403,0.8309778513,0.07985482345,5,1
Shore Pine,2020-10-23,14,Elevated,0.7398814217,0.2599147833,0.4597141747,0.1134914302,5,1
Shore Pine,2020-10-23,15,Control,0.7985107437,-0.06385730027,0.4961426207,-0.03967677148,5,0
Shore Pine,2020-10-23,16,Removed,0.9606297717,0.06164792041,0.5361376837,-0.02243114597,6,1
Shore Pine,2020-10-23,17,Removed,1.090590849,0.1804227514,0.5244633364,0.05672945988,8,1
Shore Pine,2020-10-23,18,Elevated,0.684256762,-0.2588033599,0.3516384158,-0.1329986177,7,0
Shore Pine,2020-10-23,19,Control,0.6689908453,-0.07742223272,0.3733708998,-0.1650523232,6,2
Shore Pine,2020-10-23,20,Elevated,0.3028764962,0.1235607949,0.1690385911,0.03968965457,6,2
Shore Pine,2020-10-23,21,Removed,0.784227659,0.2077782198,0.4872680412,0.07144766754,5,1
Shore Pine,2020-10-23,22,Elevated,1.131822259,0.1113122584,0.6316820303,0.06212455402,6,0
Shore Pine,2020-10-23,23,Elevated,0.4572295911,0.1844396285,0.2551846936,0.05840833041,6,2
Shore Pine,2020-10-23,24,Elevated,0.6566980901,0.06901763931,0.4737075389,0.04978570298,4,0
West Beach,2020-10-23,25,Elevated,0.3890958149,-0.01403469753,0.3541702736,0.1291788508,3,-3
West Beach,2020-10-23,26,Control,0.8849398939,-0.1341387045,0.5498440711,-0.08334506319,5,0
West Beach,2020-10-23,27,Removed,1.036665651,-0.1291593619,0.6441165847,-0.006542743921,5,-1
West Beach,2020-10-23,28,Control,0.5061072841,-0.05927958065,0.3650792345,-0.04276117852,4,0
West Beach,2020-10-23,29,Elevated,0.6677717688,-0.05380672406,0.4149099283,0.01218930352,5,-1
West Beach,2020-10-23,30,Removed,0.7535454339,-0.04663585561,0.4682041029,-0.1090046862,5,1
Shore Pine,2020-11-27,1,Control,1.140937017,0.2177551235,0.586325642,0.01272048063,7,2
Shore Pine,2020-11-27,2,Removed,1.259431143,0.3514481725,0.7029019042,0.1387403648,6,1
Shore Pine,2020-11-27,3,Elevated,1.141377114,0.2005949087,0.5865518071,0.06149126084,7,1
Shore Pine,2020-11-27,4,Removed,1.231942048,0.1639161792,0.6875599484,-0.082857864,6,2
Shore Pine,2020-11-27,5,Elevated,0.9963428495,0.07274994772,0.718709444,-0.1219810446,4,1
Shore Pine,2020-11-27,6,Removed,1.155329607,0.3493810446,0.6448017309,0.06343273369,6,2
Shore Pine,2020-11-27,7,Removed,1.236061512,0.2133424414,0.7680081987,-0.1629108173,5,2
Shore Pine,2020-11-27,8,Control,1.377087303,0.2864199345,0.7685670578,-0.2242011647,6,3
Shore Pine,2020-11-27,9,Control,0.4944841374,-0.02080220421,0.3072402691,-0.01292513619,5,0
Shore Pine,2020-11-27,10,Control,1.204377799,0.2037682829,0.6189277544,-0.002785893713,7,2
Shore Pine,2020-11-27,11,Control,1.16402501,0.01437581355,0.598190523,-0.1161266851,7,2
Shore Pine,2020-11-27,12,Removed,1.000188499,-0.05634510014,0.6214520554,-0.03500917911,5,0
Shore Pine,2020-11-27,13,Control,1.407235954,0.365958336,0.8743648594,0.1232418315,5,1
Shore Pine,2020-11-27,14,Elevated,0.68665335,0.2066867116,0.3832285314,0.03700578689,6,2
Shore Pine,2020-11-27,15,Control,1.089247345,0.2268793013,0.7857258716,0.2499064795,4,-1
Shore Pine,2020-11-27,16,Removed,1.148808987,0.2498271353,0.7137951565,0.1552263268,5,0
Shore Pine,2020-11-27,17,Removed,1.135825999,0.2256579014,0.6339165598,0.1661826833,6,-1
Shore Pine,2020-11-27,18,Elevated,0.8722218223,-0.07083829959,0.4194500325,-0.06518700087,8,1
Shore Pine,2020-11-27,19,Control,0.6362648996,-0.1101481785,0.4589681077,-0.07945511543,4,0
Shore Pine,2020-11-27,20,Elevated,0.3597981138,0.1804824125,0.2008071507,0.07145821423,6,2
Shore Pine,2020-11-27,21,Removed,0.9556436546,0.3791942154,0.6893511807,0.273530807,4,0
Shore Pine,2020-11-27,22,Elevated,1.155310356,0.134800355,0.6447909865,0.0752335102,6,0
Shore Pine,2020-11-27,23,Elevated,0.6109772755,0.3381873129,0.3139802091,0.117203846,7,3
Shore Pine,2020-11-27,24,Elevated,0.5747053361,-0.01297511462,0.4145622692,-0.009359566757,4,0
West Beach,2020-11-27,25,Elevated,0.3556583384,-0.04747217397,0.2209829504,-0.004008472426,5,-1
West Beach,2020-11-27,26,Control,1.087695443,0.06861684427,0.558964885,-0.07422424926,7,2
West Beach,2020-11-27,27,Removed,1.075051691,-0.09077332227,0.552467282,-0.09819204664,7,1
West Beach,2020-11-27,28,Control,0.6808845476,0.1154976828,0.3800089015,-0.02783151152,6,2
West Beach,2020-11-27,29,Elevated,0.7270025205,0.005424027596,0.4057478322,0.003027207419,6,0
West Beach,2020-11-27,30,Removed,0.9901733492,0.1899920596,0.4761727268,-0.1010360623,8,4
Shore Pine,2020-12-27,1,Control,0.9972907586,0.07410886517,0.6196515883,0.04604642689,5,0
Shore Pine,2020-12-27,2,Removed,1.106216298,0.1982333278,0.6173910713,0.05322953181,6,1
Shore Pine,2020-12-27,3,Elevated,0.9486731716,0.007890965941,0.589443783,0.06438323675,5,-1
Shore Pine,2020-12-27,4,Removed,NA,NA,NA,NA,NA,NA
Shore Pine,2020-12-27,5,Elevated,1.133605631,0.2100127291,0.6326773489,-0.2080131397,6,3
Shore Pine,2020-12-27,6,Removed,0.9272291517,0.1212805891,0.5761198643,-0.005249132957,5,1
Shore Pine,2020-12-27,7,Removed,1.321361818,0.2986427469,0.8210082585,-0.1099107575,5,2
Shore Pine,2020-12-27,8,Control,1.174967439,0.08430006955,0.7300483165,-0.2627199059,5,2
Shore Pine,2020-12-27,9,Control,0.4925580279,-0.02272831371,0.2749018695,-0.04526353578,6,1
Shore Pine,2020-12-27,10,Control,1.214090928,0.2134814125,0.6775970488,0.05588340064,6,1
Shore Pine,2020-12-27,11,Control,0.8954373948,-0.2542118015,0.4997531254,-0.2145640827,6,1
Shore Pine,2020-12-27,12,Removed,1.036465842,-0.02006775707,0.643992436,-0.01246879852,5,0
Shore Pine,2020-12-27,13,Control,1.075114638,0.03383702001,0.7755312784,0.02440825048,4,0
Shore Pine,2020-12-27,14,Elevated,0.6668300056,0.1868633672,0.4143247779,0.0681020334,5,1
Shore Pine,2020-12-27,15,Control,0.987663057,0.1252950131,0.4749655315,-0.06085386068,8,3
Shore Pine,2020-12-27,16,Removed,1.115170834,0.2161889828,0.6928945972,0.1343257675,5,0
Shore Pine,2020-12-27,17,Removed,1.191070813,0.280902716,0.6120893166,0.1443554401,7,0
Shore Pine,2020-12-27,18,Elevated,0.7522653248,-0.1907947971,0.3865879034,-0.09804912999,7,0
Shore Pine,2020-12-27,19,Control,0.7957817844,0.04936870633,0.4944470229,-0.04397620016,5,1
Shore Pine,2020-12-27,20,Elevated,0.2773183542,0.09800265293,0.1723075815,0.04295864497,5,1
Shore Pine,2020-12-27,21,Removed,0.8083923076,0.2319428684,0.5831317866,0.167311413,4,0
Shore Pine,2020-12-27,22,Elevated,0.8957513432,-0.1247586578,0.4603251305,-0.1092323458,7,1
Shore Pine,2020-12-27,23,Elevated,0.5203326863,0.2475427237,0.2904032016,0.09362683841,6,2
Shore Pine,2020-12-27,24,Elevated,0.7413691177,0.153688667,0.4606385323,0.0367166963,5,1
West Beach,2020-12-27,25,Elevated,0.4021642404,-0.0009662719674,0.2244521362,-0.0005392866532,6,0
West Beach,2020-12-27,26,Control,0.8487315164,-0.1703470821,0.4736860784,-0.1595030559,6,1
West Beach,2020-12-27,27,Removed,1.060077975,-0.105747038,0.5447723143,-0.1058870143,7,1
West Beach,2020-12-27,28,Control,0.5512201454,-0.01416671939,0.3076418207,-0.1001985923,6,2
West Beach,2020-12-27,29,Elevated,0.5640607036,-0.1575177894,0.3148082727,-0.08791235211,6,0
West Beach,2020-12-27,30,Removed,1.06293601,0.2627547206,0.5932358826,0.01602709348,6,2
Shore Pine,2021-02-05,1,Control,0.9200356532,-0.003146240299,0.5134816748,-0.06012348653,6,1
Shore Pine,2021-02-05,2,Removed,0.9951038647,0.08712089434,0.5553780414,-0.008783498061,6,1
Shore Pine,2021-02-05,3,Elevated,1.056996035,0.1162138296,0.5899207195,0.06486017325,6,0
Shore Pine,2021-02-05,4,Removed,0.785027648,-0.2829982211,0.4381322725,-0.33228554,6,2
Shore Pine,2021-02-05,5,Elevated,1.126794307,0.2032014057,0.5790577268,-0.2616327618,7,4
Shore Pine,2021-02-05,6,Removed,0.9184854803,0.1125369177,0.6625472238,0.08117822654,4,0
Shore Pine,2021-02-05,7,Removed,0.7125315434,-0.3101875274,0.3976714261,-0.5332475899,6,3
Shore Pine,2021-02-05,8,Control,0.7827590157,-0.3079083533,0.7124979611,-0.2802702614,3,0
Shore Pine,2021-02-05,9,Control,0.9690264506,0.4537401091,0.5408239595,0.2206585542,6,1
Shore Pine,2021-02-05,10,Control,0.6274180365,-0.3731914795,0.3501686735,-0.2715449747,6,1
Shore Pine,2021-02-05,11,Control,1.039793222,-0.1098559746,0.5000348415,-0.2142823666,8,3
Shore Pine,2021-02-05,12,Removed,0.9899900229,-0.066543576,0.5525239519,-0.1039372826,6,1
Shore Pine,2021-02-05,13,Control,1.2885751,0.2472974819,0.8006367254,0.04951369753,5,1
Shore Pine,2021-02-05,14,Elevated,1.028243056,0.548276418,0.9359471644,0.5897244199,3,-1
Shore Pine,2021-02-05,15,Control,0.7861221111,-0.07624593283,0.438743104,-0.09707628817,6,1
Shore Pine,2021-02-05,16,Removed,0.8020175787,-0.0969642726,0.4983215397,-0.06024728997,5,0
Shore Pine,2021-02-05,17,Removed,1.098075021,0.1879069241,0.5642989333,0.09656505681,7,0
Shore Pine,2021-02-05,18,Elevated,0.6670579787,-0.2760021432,0.3207870793,-0.1638499541,8,1
Shore Pine,2021-02-05,19,Control,0.2212313093,-0.5251817687,0.1374587411,-0.400964482,5,1
Shore Pine,2021-02-05,20,Elevated,0.4279055566,0.2485898553,0.2388186383,0.1094697018,6,2
Shore Pine,2021-02-05,21,Removed,0.7525814019,0.1761319627,0.5428727282,0.1270523546,4,0
Shore Pine,2021-02-05,22,Elevated,0.9243617488,-0.09614825224,0.5158961148,-0.05366136154,6,0
Shore Pine,2021-02-05,23,Elevated,0.6310195783,0.3582296157,0.3920745084,0.1952981452,5,1
Shore Pine,2021-02-05,24,Elevated,0.4433926298,-0.144287821,0.3198401741,-0.1040816619,4,0
West Beach,2021-02-05,25,Elevated,0.603931074,0.2008005616,0.3752434744,0.1502520515,5,-1
West Beach,2021-02-05,26,Control,0.8377323737,-0.1813462247,0.5205123896,-0.1126767447,5,0
West Beach,2021-02-05,27,Removed,0.9096418897,-0.2561831237,0.507680805,-0.1429785237,6,0
West Beach,2021-02-05,28,Control,0.527533413,-0.03785345179,0.4801816059,0.07234119286,3,-1
West Beach,2021-02-05,29,Elevated,0.7308108052,0.009232312343,0.3755624614,-0.02715816338,7,1
West Beach,2021-02-05,30,Removed,0.9275212958,0.1273400062,0.4766516564,-0.1005571327,7,3
Shore Pine,2021-05-10,1,Control,1.179341241,0.256159347,0.6060615086,0.03245634722,7,2
Shore Pine,2021-05-10,2,Removed,0.8312809869,-0.07670198344,0.5996424787,0.03548093924,4,-1
Shore Pine,2021-05-10,3,Elevated,0.5646673212,-0.3761148845,0.407321372,-0.1177391742,4,-2
Shore Pine,2021-05-10,4,Removed,1.048725908,-0.0192999616,0.6516100431,-0.1188077693,5,1
Shore Pine,2021-05-10,5,Elevated,0.7239816366,-0.1996112652,0.658996485,-0.1816940036,3,0
Shore Pine,2021-05-10,6,Removed,NA,NA,NA,NA,NA,NA
Shore Pine,2021-05-10,7,Removed,0.8726504442,-0.1500686265,0.6294842341,-0.3014347819,4,1
Shore Pine,2021-05-10,8,Control,1.132324991,0.04165762223,0.7035530743,-0.2892151481,5,2
Shore Pine,2021-05-10,9,Control,0.6638861748,0.1485998332,0.412495673,0.09233026764,5,0
Shore Pine,2021-05-10,10,Control,0.8808288191,-0.1197806969,0.6353836846,0.01367003646,4,-1
Shore Pine,2021-05-10,11,Control,1.159099805,0.009450608669,0.6469059184,-0.06741128976,6,1
Shore Pine,2021-05-10,12,Removed,1.013629006,-0.04290459326,0.7311787698,0.07471753533,4,-1
Shore Pine,2021-05-10,13,Control,1.127176956,0.08589933789,0.7003544202,-0.05076860772,5,1
Shore Pine,2021-05-10,14,Elevated,0.3641963532,-0.1157702852,0.2627121364,-0.08351060815,4,0
Shore Pine,2021-05-10,15,Control,0.6232276447,-0.2391403992,0.4495637162,-0.08625567593,4,-1
Shore Pine,2021-05-10,16,Removed,0.7035910713,-0.1953907799,0.6404361926,0.08186736289,3,-2
Shore Pine,2021-05-10,17,Removed,1.121916096,0.2117479988,0.6970856642,0.2293517877,5,-2
Shore Pine,2021-05-10,18,Elevated,1.09622962,0.1531694979,0.6118174,0.1271803665,6,-1
Shore Pine,2021-05-10,19,Control,0.6255958969,-0.1208171811,0.3887045857,-0.1497186374,5,1
Shore Pine,2021-05-10,20,Elevated,0.1589795655,-0.02033613581,0.1146795154,-0.01466942114,4,0
Shore Pine,2021-05-10,21,Removed,0.4125690814,-0.1638803578,0.3755365615,-0.04028381208,3,-1
Shore Pine,2021-05-10,22,Elevated,1.02368462,0.003174618927,0.6360510163,0.06649354003,5,-1
Shore Pine,2021-05-10,23,Elevated,0.6213342723,0.3485443096,0.3860566894,0.1892803262,5,1
Shore Pine,2021-05-10,24,Elevated,0.1814155231,-0.4062649277,0.1651315254,-0.2587903105,3,-1
West Beach,2021-05-10,25,Elevated,0.5514258017,0.1482952893,0.3977696348,0.1727782119,4,-2
West Beach,2021-05-10,26,Control,1.088498958,0.06942035937,0.6763224287,0.04313329445,5,0
West Beach,2021-05-10,27,Removed,1.053981912,-0.1118431013,0.6548757824,0.004216453724,5,-1
West Beach,2021-05-10,28,Control,0.5410956466,-0.02429121821,0.3362016282,-0.07163878485,5,1
West Beach,2021-05-10,29,Elevated,0.7860850779,0.06450658497,0.4884221204,0.08570149564,5,-1
West Beach,2021-05-10,30,Removed,0.8966834727,0.09650218316,0.5571407668,-0.02006802228,5,1
Shore Pine,2021-06-07,1,Control,0.8833881439,-0.03979374961,0.5488799146,-0.02472524681,5,0
Shore Pine,2021-06-07,2,Removed,0.6777680751,-0.2302148952,0.6169310886,0.05276954908,3,-2
Shore Pine,2021-06-07,3,Elevated,0.5354173912,-0.4053648145,0.3862220075,-0.1388385387,4,-2
Shore Pine,2021-06-07,4,Removed,0.8108417474,-0.2571841217,0.5848986839,-0.1855191285,4,0
Shore Pine,2021-06-07,5,Elevated,0.6077499874,-0.3158429144,0.4383989465,-0.4022915422,4,1
Shore Pine,2021-06-07,6,Removed,NA,NA,NA,NA,NA,NA
Shore Pine,2021-06-07,7,Removed,0.5359610497,-0.4867580211,0.4878527714,-0.4430662446,3,0
Shore Pine,2021-06-07,8,Control,0.3622105571,-0.7284568119,0.5225593745,-0.4702088479,2,-1
Shore Pine,2021-06-07,9,Control,0.2166356659,-0.2986506757,0.1562696004,-0.1638958049,4,-1
Shore Pine,2021-06-07,10,Control,0.6601501394,-0.3404593766,0.4761976662,-0.145515982,4,-1
Shore Pine,2021-06-07,11,Control,0.8148887141,-0.3347604822,0.7417436729,0.02742646476,3,-2
Shore Pine,2021-06-07,12,Removed,0.7850051969,-0.271528402,0.7145425233,0.0580812888,3,-2
Shore Pine,2021-06-07,13,Control,0.8236579951,-0.217619623,0.7497258164,-0.001397211466,3,-1
Shore Pine,2021-06-07,14,Elevated,0.4347397458,-0.04522689263,0.3135984377,-0.03262430686,4,0
Shore Pine,2021-06-07,15,Control,0.5749393564,-0.2874286875,0.4147310791,-0.121088313,4,-1
Shore Pine,2021-06-07,16,Removed,0.6425653557,-0.2564164956,0.5848881924,0.02631936267,3,-2
Shore Pine,2021-06-07,17,Removed,0.7810644778,-0.1291036195,0.7109555262,0.2432216497,3,-4
Shore Pine,2021-06-07,18,Elevated,0.8902013329,-0.05285878907,0.4574729893,-0.02716404408,7,0
Shore Pine,2021-06-07,19,Control,0.3359275536,-0.4104855245,0.2423205078,-0.2961027152,4,0
Shore Pine,2021-06-07,20,Elevated,0.2493797842,0.07006408295,0.179889489,0.05054055251,4,0
Shore Pine,2021-06-07,21,Removed,0.5432824631,-0.03316697614,0.3918954576,-0.023924916,4,0
Shore Pine,2021-06-07,22,Elevated,0.5272219144,-0.4932880866,0.294248153,-0.2753093233,6,0
Shore Pine,2021-06-07,23,Elevated,0.1984047209,-0.07438524174,0.1431187535,-0.05365760969,4,0
Shore Pine,2021-06-07,24,Elevated,0.9164648855,0.3287844348,0.8342022886,0.4102804527,3,-1
West Beach,2021-06-07,25,Elevated,0.6742462411,0.2711157287,0.3763039921,0.1513125692,6,0
West Beach,2021-06-07,26,Control,0.7169701748,-0.3021084237,0.4454786166,-0.1877105176,5,0
West Beach,2021-06-07,27,Removed,0.9055464443,-0.2602785691,0.4653588166,-0.185300512,7,1
West Beach,2021-06-07,28,Control,0.4368488365,-0.1285380282,0.2714294433,-0.1364109697,5,1
West Beach,2021-06-07,29,Elevated,0.4967781494,-0.2248003435,0.2552934675,-0.1474271573,7,1
West Beach,2021-06-07,30,Removed,0.9598651611,0.1596838716,0.5357109465,-0.04149784264,6,2
Shore Pine,2021-07-05,1,Control,1.209107986,0.2859260924,0.6748160156,0.1012108542,6,1
Shore Pine,2021-07-05,2,Removed,1.224082567,0.3160995969,0.8829889247,0.3188273852,4,-1
Shore Pine,2021-07-05,3,Elevated,1.386622447,0.4458402411,0.7738887226,0.2488281763,6,0
